Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Attrition
-0.004347163975361884,1,-0.784619784004872,1.9576194737689128,0.14285714285714285,1.0,1,-1.3277547099299047,0.6666666666666667,1.0,1,-0.49425795053003535,-1.360187809520944,0.0,1,-0.5565850372189778,0.0,0.3333333333333333,0.3333333333333333,0.125,-1.0,0.6666666666666667,0.8333333333333334,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
-0.12193093795411122,2,0.075458361016071,-0.08742026616363423,0.14285714285714285,0.0,1,-1.121888895529715,0.6666666666666667,0.0,1,-0.42734098939929327,-0.5614629629248633,0.0,0,0.6130805109216565,0.0,1.0,0.3333333333333333,-0.625,0.0,0.6666666666666667,-0.16666666666666666,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-0.4746822598903593,2,-0.46676481736669745,2.213249441260481,0.14285714285714285,0.6666666666666667,1,0.6279705268718958,0.6666666666666667,1.0,0,-0.04571554770318021,0.24260640632848993,-0.3333333333333333,0,0.6130805109216565,0.0,1.0,0.6666666666666666,-0.625,0.0,0.6666666666666667,-0.3333333333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.2308203839821368,2,1.5899437902920794,-0.8543101686383393,0.14285714285714285,0.6666666666666667,0,-1.4306876171299994,0.6666666666666667,0.0,1,0.11329505300353357,-0.19494122490243224,0.6666666666666666,0,-0.2641686501838192,0.0,0.6666666666666667,0.0,0.75,-2.0,0.0,0.16666666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.641825671727129,2,0.33187917443846393,-0.4708652174009868,0.21428571428571427,0.3333333333333333,0,-1.5850869779301415,0.6666666666666667,0.0,2,3.135821554770318,0.7081424588435502,0.0,1,-0.5565850372189778,0.0,0.6666666666666667,0.0,2.75,-3.0,0.6666666666666667,4.333333333333333,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
-1.062601129784106,2,-0.8727644386188196,-0.8543101686383393,0.14285714285714285,0.6666666666666667,0,-0.6072243595292414,0.6666666666666667,0.3333333333333333,2,-0.14068021201413428,-1.0783345620163578,1.3333333333333333,0,-1.141417811289295,0.0,1.0,0.0,-0.375,-3.0,0.6666666666666667,-0.6666666666666666,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.23951471193286059,2,0.13689251423185264,0.16820970132793414,0.21428571428571427,0.3333333333333333,1,-1.6365534315301888,0.6666666666666667,0.0,2,-0.7846731448763251,0.2995677662283689,0.0,0,-0.5565850372189778,0.0,0.0,0.0,-1.0,-1.0,0.6666666666666667,-0.6666666666666666,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0.4659879319396355,2,0.3105107733199312,-0.8543101686383393,0.14285714285714285,1.0,1,0.3191718052716115,0.6666666666666667,1.0,0,-0.39023851590106007,-0.2607632407867368,0.3333333333333333,0,-0.8490014242541363,0.0,1.0,0.3333333333333333,-0.375,0.0,0.3333333333333333,-0.3333333333333333,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.7594094457058782,1,1.07977321358711,-0.3430502336552026,0.14285714285714285,1.0,1,-1.2762882563298572,0.0,1.0,1,0.3544611307420495,0.9072962504934974,2.3333333333333335,1,-0.5565850372189778,0.0,0.0,0.3333333333333333,1.125,0.0,0.6666666666666667,1.8333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-1.2977686777416046,2,-0.23171240506283722,0.04039471758214996,0.0,0.6666666666666667,0,0.7309034340719905,0.6666666666666667,0.6666666666666667,1,-0.4622349823321555,-0.9592079648924133,0.0,0,0.02824773685133936,0.0,0.6666666666666667,0.3333333333333333,0.0,-1.0,0.3333333333333333,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
